Local Authority,ONS Area Code,Road Name,2019,2020 [Note 6],2021 [Note 6],"2022 [Notes 6, 8]"
Barking and Dagenham,E09000002,A1083,10.8r,12.3r,11.6r,11.3r
Barking and Dagenham,E09000002,A1112,12.3r,13.4r,12.8r,12.0r
Barking and Dagenham,E09000002,A1153,14.2r,15.2r,13.9r,13.4r
Barking and Dagenham,E09000002,A118,10.7r,11.0r,10.7r,10.6r
Barking and Dagenham,E09000002,A123,10.6r,11.2r,10.9r,10.6r
Barking and Dagenham,E09000002,A124,11.4r,12.6r,12.2r,11.6r
Barking and Dagenham,E09000002,A1240,11.2r,12.3r,11.9r,11.0r
Barking and Dagenham,E09000002,A13,27.0r,27.1r,26.3r,26.6r
Barking and Dagenham,E09000002,A1306,14.5r,15.6r,15.0r,13.9r
Barnet,E09000003,A1,23.7r,26.8r,25.7r,23.7r
Barnet,E09000003,A1000,14.4r,15.5r,13.3r,13.2r
Barnet,E09000003,A1003,12.3r,13.3r,12.3r,11.8r
Barnet,E09000003,A109,14.8r,15.9r,15.7r,15.3r
Barnet,E09000003,A110,15.1r,15.9r,11.9r,11.1r
Barnet,E09000003,A406,20.4r,19.9r,19.8r,19.9r
Barnet,E09000003,A407,8.6r,9.5r,10.1r,10.1r
Barnet,E09000003,A41,20.2r,21.5r,20.6r,20.0r
Barnet,E09000003,A411,16.1r,18.4r,12.0r,11.3r
Barnet,E09000003,A5,13.8r,13.5r,14.0r,12.7r
Barnet,E09000003,A502,11.3r,12.1r,11.3r,11.1r
Barnet,E09000003,A504,13.8r,15.1r,14.6r,14.6r
Barnet,E09000003,A5100,11.6r,12.9r,12.0r,11.3r
Barnet,E09000003,A5109,18.0r,19.9r,19.3r,18.1r
Barnet,E09000003,A5150,18.0r,18.5r,18.1r,17.8r
Barnet,E09000003,A598,11.9r,12.7r,12.2r,12.4r
Bexley,E09000004,A2,39.5r,42.0r,39.8r,40.8r
Bexley,E09000004,A20,36.5r,39.0r,38.1r,38.0r
Bexley,E09000004,A2000,17.2r,17.9r,17.4r,16.9r
Bexley,E09000004,A2016,34.6r,34.6r,33.9r,36.4r
Bexley,E09000004,A2018,20.8r,20.9r,14.7r,14.7r
Bexley,E09000004,A2041,11.9r,13.5r,13.0r,13.5r
Bexley,E09000004,A206,16.1r,16.5r,16.0r,15.5r
Bexley,E09000004,A207,11.0r,12.2r,11.9r,11.7r
Bexley,E09000004,A209,13.9r,14.2r,13.8r,13.9r
Bexley,E09000004,A210,11.7r,13.0r,12.6r,13.0r
Bexley,E09000004,A211,12.5r,13.4r,13.2r,12.5r
Bexley,E09000004,A220,11.9r,12.7r,12.3r,12.4r
Bexley,E09000004,A221,16.6r,17.9r,17.2r,16.5r
Bexley,E09000004,A222,10.2r,11.5r,12.5r,11.1r
Bexley,E09000004,A223,21.5r,23.1r,22.5r,21.7r
Brent,E09000005,A4003,11.4r,12.3r,11.9r,11.8r
Brent,E09000005,A4005,16.0r,17.8r,16.7r,16.4r
Brent,E09000005,A4006,13.2r,14.7r,14.0r,13.5r
Brent,E09000005,A404,13.5r,14.0r,13.9r,13.6r
Brent,E09000005,A406,23.2r,24.9r,24.0r,23.8r
Brent,E09000005,A407,11.1r,11.6r,11.0r,10.9r
Brent,E09000005,A4088,12.0r,12.4r,11.8r,12.2r
Brent,E09000005,A4089,9.0r,10.7r,10.2r,9.7r
Brent,E09000005,A4140,20.5r,22.3r,19.5r,19.0r
Brent,E09000005,A5,10.6r,11.0r,11.0r,10.7r
Bromley,E09000006,A20,46.9r,48.9r,48.1r,48.7r
Bromley,E09000006,A2015,15.1r,14.0r,11.6r,11.4r
Bromley,E09000006,A2022,18.8r,20.5r,19.5r,18.4r
Bromley,E09000006,A208,16.1r,17.5r,15.9r,16.0r
Bromley,E09000006,A21,17.2r,18.5r,17.4r,17.6r
Bromley,E09000006,A213,12.9r,12.0r,11.9r,11.8r
Bromley,E09000006,A214,12.7r,13.5r,12.7r,12.4r
Bromley,E09000006,A2212,13.1r,13.9r,13.9r,13.3r
Bromley,E09000006,A222,12.3r,13.7r,13.0r,12.6r
Bromley,E09000006,A223,12.0r,13.6r,12.8r,12.4r
Bromley,E09000006,A224,17.2r,18.8r,16.2r,17.0r
Bromley,E09000006,A232,13.2r,14.5r,13.8r,13.7r
Bromley,E09000006,A233,20.1r,21.6r,20.9r,20.4r
Bromley,E09000006,A234,10.4r,11.1r,10.7r,10.4r
Camden,E09000007,A400,7.5r,8.2r,7.2r,7.0r
Camden,E09000007,A41,11.9r,12.3r,11.7r,11.8r
Camden,E09000007,A4200,5.6r,7.8r,7.9r,5.9r
Camden,E09000007,A4201,9.4r,10.0r,9.3r,9.7r
Camden,E09000007,A502,9.9r,10.0r,9.6r,9.7r
Camden,E09000007,A5200,8.4r,9.2r,9.3r,8.7r
Camden,E09000007,A5202,8.5r,8.3r,8.8r,7.6r
Croydon,E09000008,A2022,15.4r,16.2r,15.9r,15.4r
Croydon,E09000008,A212,13.4r,13.9r,13.7r,13.7r
Croydon,E09000008,A213,12.3r,12.6r,12.3r,12.2r
Croydon,E09000008,A215,13.2r,13.7r,13.5r,13.0r
Croydon,E09000008,A22,18.9r,21.7r,20.3r,20.5r
Croydon,E09000008,A222,13.6r,14.4r,14.0r,14.2r
Croydon,E09000008,A23,13.1r,13.9r,13.1r,12.9r
Croydon,E09000008,A232,13.7r,14.7r,14.3r,14.0r
Croydon,E09000008,A235,10.6r,11.1r,10.6r,10.3r
Croydon,E09000008,A236,16.7r,17.1r,15.7r,14.9r
Croydon,E09000008,A237,15.2r,17.3r,16.1r,15.3r
Ealing,E09000009,A3002,14.0r,14.7r,15.1r,14.5r
Ealing,E09000009,A3005,10.7r,10.5r,9.6r,10.9r
Ealing,E09000009,A312,11.5r,15.0r,13.2r,13.0r
Ealing,E09000009,A40,26.3r,28.1r,27.0r,25.8r
Ealing,E09000009,A4000,10.8r,12.0r,11.2r,11.2r
Ealing,E09000009,A4020,11.3r,11.7r,11.4r,10.7r
Ealing,E09000009,A406,14.0r,16.3r,15.8r,14.4r
Ealing,E09000009,A4090,16.0r,16.1r,15.7r,15.2r
Ealing,E09000009,A4127,13.1r,14.3r,13.7r,13.4r
Ealing,E09000009,A4180,15.2r,20.1r,17.6r,18.5r
Enfield,E09000010,A10,17.0r,19.2r,17.7r,17.7r
Enfield,E09000010,A1003,16.4r,17.5r,14.9r,14.9r
Enfield,E09000010,A1004,14.6r,15.3r,13.5r,13.4r
Enfield,E09000010,A1005,25.6r,27.8r,26.4r,26.2r
Enfield,E09000010,A1010,9.1r,10.7r,10.6r,10.3r
Enfield,E09000010,A105,14.0r,15.2r,15.2r,15.0r
Enfield,E09000010,A1055,16.7r,18.1r,16.6r,16.8r
Enfield,E09000010,A109,9.1r,9.6r,9.2r,8.9r
Enfield,E09000010,A110,11.1r,13.8r,13.5r,12.9r
Enfield,E09000010,A111,17.7r,18.5r,17.4r,17.3r
Enfield,E09000010,A1110,9.6r,8.7r,8.6r,8.5r
Enfield,E09000010,A406,20.2r,17.9r,16.3r,16.4r
Greenwich,E09000011,A102,14.8r,17.6r,16.5r,15.4r
Greenwich,E09000011,A2,24.1r,25.2r,24.4r,24.8r
Greenwich,E09000011,A20,16.8r,18.0r,17.6r,16.8r
Greenwich,E09000011,A200,6.9r,7.0r,6.8r,7.4r
Greenwich,E09000011,A2016,21.9r,22.4r,22.5r,24.1r
Greenwich,E09000011,A2041,12.5r,13.9r,13.8r,16.5r
Greenwich,E09000011,A205,13.3r,14.5r,13.9r,15.0r
Greenwich,E09000011,A206,10.8r,11.2r,11.0r,12.1r
Greenwich,E09000011,A207,12.7r,13.9r,13.5r,13.2r
Greenwich,E09000011,A208,9.9r,11.1r,10.5r,10.1r
Greenwich,E09000011,A209,15.6r,16.0r,16.2r,16.7r
Greenwich,E09000011,A210,11.6r,12.6r,12.3r,12.2r
Greenwich,E09000011,A211,11.9r,13.2r,12.9r,12.6r
Greenwich,E09000011,A2203,9.3r,10.5r,9.8r,9.4r
Greenwich,E09000011,A2213,10.8r,12.0r,11.7r,11.9r
Hackney,E09000012,A10,7.9r,7.9r,7.9r,8.0r
Hackney,E09000012,A102,7.2r,8.0r,7.5r,7.6r
Hackney,E09000012,A104,11.6r,11.4r,11.0r,11.0r
Hackney,E09000012,A105,10.7r,10.4r,9.9r,10.1r
Hackney,E09000012,A106,13.1r,14.5r,14.4r,14.1r
Hackney,E09000012,A107,10.5r,9.8r,9.2r,9.0r
Hackney,E09000012,A12,32.3r,34.7r,33.8r,34.7r
Hackney,E09000012,A1200,9.0r,9.3r,9.5r,9.4r
Hackney,E09000012,A1207,9.1r,8.1r,9.2r,8.7r
Hackney,E09000012,A503,14.1r,14.3r,14.1r,13.3r
Hammersmith and Fulham,E09000013,A217,10.0r,9.8r,9.2r,9.6r
Hammersmith and Fulham,E09000013,A219,9.9r,10.8r,10.4r,9.8r
Hammersmith and Fulham,E09000013,A304,7.5r,8.0r,7.6r,7.7r
Hammersmith and Fulham,E09000013,A308,7.6r,8.0r,8.2r,7.9r
Hammersmith and Fulham,E09000013,A315,10.1r,10.9r,10.1r,9.1r
Hammersmith and Fulham,E09000013,A3218,8.7r,9.4r,8.9r,8.8r
Hammersmith and Fulham,E09000013,A3219,9.6r,10.5r,10.3r,10.0r
Hammersmith and Fulham,E09000013,A4,17.3r,20.2r,17.7r,14.3r
Hammersmith and Fulham,E09000013,A40,13.5r,17.9r,17.3r,15.5r
Hammersmith and Fulham,E09000013,A402,12.3r,13.3r,12.6r,11.7r
Hammersmith and Fulham,E09000013,A4020,9.6r,11.0r,10.0r,9.1r
Haringey,E09000014,A1,12.0r,12.2r,12.1r,12.0r
Haringey,E09000014,A10,11.5r,12.1r,11.7r,11.6r
Haringey,E09000014,A1010,9.2r,10.2r,9.9r,8.9r
Haringey,E09000014,A103,10.9r,11.4r,10.9r,10.9r
Haringey,E09000014,A105,9.2r,8.9r,8.5r,8.5r
Haringey,E09000014,A1055,[x],[x],[x],16.2r
Haringey,E09000014,A1080,12.8r,11.4r,10.3r,10.6r
Haringey,E09000014,A109,12.3r,12.3r,10.8r,10.8r
Haringey,E09000014,A1201,10.4r,11.2r,8.6r,10.2r
Haringey,E09000014,A503,10.5r,10.8r,11.1r,10.3r
Haringey,E09000014,A504,10.9r,11.1r,10.5r,9.9r
Harrow,E09000015,A312,14.1r,14.4r,13.8r,13.5r
Harrow,E09000015,A4005,14.4r,15.4r,15.1r,14.1r
Harrow,E09000015,A4008,27.0r,27.6r,25.2r,26.4r
Harrow,E09000015,A404,18.7r,19.6r,19.2r,19.6r
Harrow,E09000015,A409,15.9r,17.4r,16.6r,15.8r
Harrow,E09000015,A4090,14.4r,15.8r,14.3r,14.5r
Harrow,E09000015,A410,17.2r,19.0r,17.9r,17.5r
Harrow,E09000015,A4140,17.2r,17.9r,17.6r,17.3r
Harrow,E09000015,A5,18.5r,20.0r,18.5r,16.7r
Havering,E09000016,A118,16.3r,17.8r,16.5r,16.7r
Havering,E09000016,A12,25.0r,27.0r,26.0r,25.2r
Havering,E09000016,A124,12.3r,13.4r,13.3r,12.4r
Havering,E09000016,A125,18.4r,19.6r,18.7r,18.4r
Havering,E09000016,A1251,9.6r,10.4r,10.2r,10.4r
Havering,E09000016,A127,29.9r,32.6r,31.1r,31.3r
Havering,E09000016,A13,49.5r,51.8r,52.5r,51.2r
Havering,E09000016,A1306,24.3r,25.2r,24.8r,23.5r
Hillingdon,E09000017,A30,26.3r,27.6r,27.6r,26.9r
Hillingdon,E09000017,A3044,25.2r,26.4r,26.9r,26.3r
Hillingdon,E09000017,A312,28.4r,31.8r,30.0r,27.6r
Hillingdon,E09000017,A4,21.2r,23.4r,23.6r,23.1r
Hillingdon,E09000017,A40,43.4r,48.9r,47.3r,45.7r
Hillingdon,E09000017,A4007,14.2r,16.8r,15.8r,15.3r
Hillingdon,E09000017,A4020,16.1r,17.0r,16.5r,15.8r
Hillingdon,E09000017,A404,18.4r,19.9r,18.4r,19.5r
Hillingdon,E09000017,A408,20.3r,22.1r,21.9r,21.2r
Hillingdon,E09000017,A4125,16.9r,19.4r,17.5r,18.5r
Hillingdon,E09000017,A4180,18.8r,21.3r,16.5r,19.2r
Hillingdon,E09000017,A437,17.9r,19.4r,18.6r,18.0r
Hounslow,E09000018,A244,[x],[x],[x],10.5r
Hounslow,E09000018,A30,19.5r,20.3r,19.9r,19.1r
Hounslow,E09000018,A3000,12.2r,13.5r,13.5r,12.7r
Hounslow,E09000018,A3002,13.3r,13.4r,14.6r,14.2r
Hounslow,E09000018,A3005,12.7r,14.0r,13.6r,13.3r
Hounslow,E09000018,A3006,10.5r,12.3r,11.3r,10.7r
Hounslow,E09000018,A3063,10.6r,12.3r,11.7r,11.1r
Hounslow,E09000018,A310,11.3r,13.6r,12.7r,11.5r
Hounslow,E09000018,A312,15.5r,18.2r,17.5r,16.7r
Hounslow,E09000018,A314,11.3r,12.9r,12.5r,11.9r
Hounslow,E09000018,A315,13.0r,14.1r,13.3r,12.7r
Hounslow,E09000018,A316,28.8r,30.7r,26.9r,27.6r
Hounslow,E09000018,A4,18.6r,21.1r,20.7r,18.1r
Hounslow,E09000018,A406,13.5r,15.8r,14.2r,11.2r
Islington,E09000019,A1,9.3r,9.2r,9.0r,8.8r
Islington,E09000019,A103,10.9r,11.6r,9.8r,11.1r
Islington,E09000019,A104,8.2r,8.8r,7.7r,7.7r
Islington,E09000019,A105,8.9r,9.3r,10.0r,9.0r
Islington,E09000019,A1199,12.5r,12.6r,10.8r,10.7r
Islington,E09000019,A1201,11.0r,9.8r,8.1r,8.4r
Islington,E09000019,A401,6.5r,7.1r,6.3r,5.6r
Islington,E09000019,A5201,[x],[x],[x],7.3r
Islington,E09000019,A5203,11.0r,11.1r,10.6r,10.9r
Kensington and Chelsea,E09000020,A308,6.7r,7.4r,7.3r,7.2r
Kensington and Chelsea,E09000020,A315,8.0r,9.4r,9.7r,8.9r
Kensington and Chelsea,E09000020,A3212,9.8r,10.1r,10.4r,9.9r
Kensington and Chelsea,E09000020,A3216,6.4r,7.2r,6.4r,6.0r
Kensington and Chelsea,E09000020,A3217,6.0r,6.8r,6.6r,6.2r
Kensington and Chelsea,E09000020,A3218,6.3r,7.3r,6.8r,6.6r
Kensington and Chelsea,E09000020,A3220,25.1r,26.9r,24.9r,25.5r
Kensington and Chelsea,E09000020,A4,8.4r,9.9r,9.0r,8.5r
Kensington and Chelsea,E09000020,A40,[x],[x],[x],27.8r
Kensington and Chelsea,E09000020,A402,9.7r,10.6r,9.9r,9.4r
Kensington and Chelsea,E09000020,A4204,8.0r,9.4r,8.9r,8.1r
Kingston upon Thames,E09000021,A2043,10.4r,11.8r,10.8r,10.4r
Kingston upon Thames,E09000021,A238,13.4r,14.7r,14.2r,13.5r
Kingston upon Thames,E09000021,A240,14.2r,16.2r,15.0r,14.4r
Kingston upon Thames,E09000021,A243,17.1r,19.2r,18.2r,17.2r
Kingston upon Thames,E09000021,A3,36.6r,39.3r,39.0r,37.9r
Kingston upon Thames,E09000021,A307,15.9r,16.4r,16.1r,15.2r
Kingston upon Thames,E09000021,A308,9.8r,11.1r,10.3r,10.1r
Lambeth,E09000022,A203,9.1r,9.6r,9.6r,9.5r
Lambeth,E09000022,A204,11.5r,12.2r,11.3r,13.6r
Lambeth,E09000022,A205,11.2r,11.5r,11.1r,11.1r
Lambeth,E09000022,A214,11.7r,12.0r,11.5r,12.0r
Lambeth,E09000022,A215,8.4r,9.0r,9.5r,10.4r
Lambeth,E09000022,A2199,13.1r,14.2r,13.9r,13.5r
Lambeth,E09000022,A2214,8.7r,9.0r,9.0r,9.2r
Lambeth,E09000022,A2217,7.8r,8.0r,8.0r,7.6r
Lambeth,E09000022,A23,9.5r,9.9r,9.6r,9.4r
Lambeth,E09000022,A24,10.4r,10.5r,10.3r,10.3r
Lambeth,E09000022,A3,8.4r,8.3r,8.0r,7.9r
Lambeth,E09000022,A3036,8.9r,9.4r,11.2r,8.8r
Lewisham,E09000023,A2,8.6r,8.9r,9.7r,8.5r
Lewisham,E09000023,A20,10.0r,10.6r,10.1r,10.3r
Lewisham,E09000023,A200,10.8r,11.4r,10.5r,9.9r
Lewisham,E09000023,A2015,17.4r,16.5r,16.4r,17.3r
Lewisham,E09000023,A205,9.2r,9.5r,10.1r,9.4r
Lewisham,E09000023,A21,9.8r,10.5r,10.2r,9.8r
Lewisham,E09000023,A212,10.3r,11.4r,12.0r,12.0r
Lewisham,E09000023,A2210,7.5r,7.4r,8.0r,8.0r
Lewisham,E09000023,A2212,8.9r,9.5r,10.0r,9.4r
Lewisham,E09000023,A2216,9.0r,9.9r,9.5r,9.2r
Lewisham,E09000023,A2218,11.5r,12.2r,12.0r,11.6r
Merton,E09000024,A216,10.3r,10.9r,10.6r,10.2r
Merton,E09000024,A217,9.5r,10.3r,10.2r,9.5r
Merton,E09000024,A218,10.4r,10.9r,10.5r,10.2r
Merton,E09000024,A219,[x],[x],[x],8.4r
Merton,E09000024,A236,10.0r,10.0r,10.6r,10.2r
Merton,E09000024,A238,9.0r,9.9r,9.8r,9.4r
Merton,E09000024,A239,11.2r,12.7r,11.6r,12.1r
Merton,E09000024,A24,12.5r,13.3r,13.1r,12.9r
Merton,E09000024,A297,12.3r,13.9r,14.0r,13.6r
Merton,E09000024,A298,[x],[x],[x],12.4r
Merton,E09000024,A3,31.8r,32.6r,32.4r,32.8r
Newham,E09000025,A1011,12.8r,13.4r,12.1r,10.4r
Newham,E09000025,A1020,19.6r,21.0r,20.0r,19.2r
Newham,E09000025,A112,9.7r,10.5r,9.7r,9.5r
Newham,E09000025,A114,10.5r,11.6r,11.2r,11.2r
Newham,E09000025,A116,14.8r,15.7r,15.5r,15.7r
Newham,E09000025,A117,8.7r,9.3r,9.0r,8.8r
Newham,E09000025,A118,9.9r,10.4r,9.6r,10.0r
Newham,E09000025,A124,7.9r,8.5r,8.4r,8.1r
Newham,E09000025,A13,27.2r,29.9r,26.9r,28.0r
Newham,E09000025,A406,27.5r,29.5r,27.1r,28.5r
Redbridge,E09000026,A1008,11.0r,11.3r,10.9r,10.7r
Redbridge,E09000026,A1009,13.5r,15.8r,15.8r,16.2r
Redbridge,E09000026,A104,12.5r,14.4r,14.7r,14.3r
Redbridge,E09000026,A1083,10.0r,10.9r,10.2r,9.9r
Redbridge,E09000026,A110,17.8r,18.0r,18.4r,17.8r
Redbridge,E09000026,A1112,23.7r,26.4r,25.9r,23.9r
Redbridge,E09000026,A113,14.1r,16.1r,15.2r,14.9r
Redbridge,E09000026,A114,21.4r,21.0r,20.9r,21.2r
Redbridge,E09000026,A116,13.4r,15.2r,14.7r,13.8r
Redbridge,E09000026,A118,10.9r,11.7r,12.1r,12.0r
Redbridge,E09000026,A1199,15.0r,16.7r,15.7r,15.7r
Redbridge,E09000026,A12,17.2r,18.2r,17.6r,17.4r
Redbridge,E09000026,A123,10.4r,11.3r,11.1r,10.9r
Redbridge,E09000026,A1400,16.0r,18.4r,17.4r,17.1r
Redbridge,E09000026,A406,34.7r,37.0r,35.6r,34.7r
Richmond upon Thames,E09000027,A205,10.4r,11.2r,10.4r,9.7r
Richmond upon Thames,E09000027,A3003,10.0r,10.6r,10.4r,10.2r
Richmond upon Thames,E09000027,A3004,13.8r,15.1r,15.3r,14.4r
Richmond upon Thames,E09000027,A305,11.9r,12.7r,12.5r,12.3r
Richmond upon Thames,E09000027,A306,12.2r,12.9r,12.6r,12.4r
Richmond upon Thames,E09000027,A307,15.5r,16.1r,15.3r,14.0r
Richmond upon Thames,E09000027,A308,17.9r,19.2r,18.0r,17.1r
Richmond upon Thames,E09000027,A309,14.6r,16.0r,17.7r,16.8r
Richmond upon Thames,E09000027,A310,15.0r,15.7r,14.9r,14.6r
Richmond upon Thames,E09000027,A311,12.0r,12.6r,11.8r,11.7r
Richmond upon Thames,E09000027,A312,16.4r,16.5r,15.5r,15.8r
Richmond upon Thames,E09000027,A313,12.2r,12.8r,11.8r,11.6r
Richmond upon Thames,E09000027,A314,15.9r,16.7r,15.8r,15.1r
Richmond upon Thames,E09000027,A316,19.1r,21.6r,21.1r,20.3r
Southwark,E09000028,A101,12.8r,13.4r,13.1r,12.1r
Southwark,E09000028,A2,9.2r,9.5r,9.4r,9.0r
Southwark,E09000028,A200,9.4r,7.5r,8.8r,8.3r
Southwark,E09000028,A201,8.3r,9.1r,8.8r,8.3r
Southwark,E09000028,A202,7.9r,8.8r,8.7r,8.6r
Southwark,E09000028,A205,14.4r,14.7r,13.6r,13.2r
Southwark,E09000028,A215,7.5r,7.8r,8.4r,7.5r
Southwark,E09000028,A2198,6.6r,7.0r,6.6r,6.3r
Southwark,E09000028,A2199,14.0r,13.2r,13.0r,15.4r
Southwark,E09000028,A2206,8.5r,9.1r,8.6r,8.4r
Southwark,E09000028,A2208,9.7r,10.3r,9.8r,9.6r
Southwark,E09000028,A2214,9.1r,9.4r,9.0r,8.7r
Southwark,E09000028,A2215,7.7r,7.9r,9.1r,7.5r
Southwark,E09000028,A2216,9.0r,9.8r,9.5r,9.1r
Sutton,E09000029,A2022,26.2r,26.8r,26.1r,26.3r
Sutton,E09000029,A2043,10.5r,11.7r,11.5r,10.8r
Sutton,E09000029,A217,15.6r,15.8r,16.2r,15.6r
Sutton,E09000029,A232,12.6r,13.4r,12.5r,12.6r
Sutton,E09000029,A237,11.2r,12.2r,11.6r,11.7r
Sutton,E09000029,A24,10.4r,11.4r,10.7r,10.3r
Tower Hamlets,E09000030,A101,13.1r,13.5r,13.5r,12.8r
Tower Hamlets,E09000030,A102,15.5r,15.8r,15.1r,14.4r
Tower Hamlets,E09000030,A107,10.0r,9.5r,8.6r,8.3r
Tower Hamlets,E09000030,A11,9.4r,10.1r,9.6r,9.9r
Tower Hamlets,E09000030,A12,20.6r,21.4r,21.5r,21.4r
Tower Hamlets,E09000030,A1202,7.2r,8.5r,8.0r,8.5r
Tower Hamlets,E09000030,A1203,16.6r,17.3r,16.8r,16.0r
Tower Hamlets,E09000030,A1205,6.4r,7.6r,8.2r,8.3r
Tower Hamlets,E09000030,A1206,11.5r,12.6r,12.4r,11.5r
Tower Hamlets,E09000030,A1208,10.6r,9.1r,8.1r,8.5r
Tower Hamlets,E09000030,A1209,9.1r,9.4r,9.1r,9.1r
Tower Hamlets,E09000030,A1261,24.3r,25.2r,24.4r,23.5r
Tower Hamlets,E09000030,A13,8.7r,9.5r,9.2r,9.0r
Waltham Forest,E09000031,A1006,9.5r,9.6r,8.9r,9.2r
Waltham Forest,E09000031,A1009,10.2r,11.1r,10.4r,10.4r
Waltham Forest,E09000031,A1037,21.7r,23.2r,22.4r,22.2r
Waltham Forest,E09000031,A104,10.2r,11.3r,11.3r,11.4r
Waltham Forest,E09000031,A106,[x],[x],[x],10.8r
Waltham Forest,E09000031,A1069,7.5r,8.2r,10.4r,8.1r
Waltham Forest,E09000031,A110,13.9r,13.0r,11.7r,10.9r
Waltham Forest,E09000031,A112,9.0r,9.7r,9.4r,9.4r
Waltham Forest,E09000031,A114,14.8r,15.5r,14.9r,14.5r
Waltham Forest,E09000031,A12,[x],[x],[x],37.4r
Waltham Forest,E09000031,A406,35.2r,36.6r,35.9r,35.7r
Waltham Forest,E09000031,A503,11.8r,10.5r,9.7r,9.4r
Wandsworth,E09000032,A205,10.2r,10.6r,10.2r,10.0r
Wandsworth,E09000032,A214,10.4r,10.7r,12.8r,10.3r
Wandsworth,E09000032,A216,8.8r,9.6r,9.4r,9.3r
Wandsworth,E09000032,A217,7.7r,8.4r,8.2r,8.1r
Wandsworth,E09000032,A218,11.9r,12.7r,12.5r,11.4r
Wandsworth,E09000032,A219,10.6r,11.5r,10.7r,10.6r
Wandsworth,E09000032,A24,7.6r,7.5r,7.4r,7.4r
Wandsworth,E09000032,A3,17.6r,18.8r,18.4r,17.5r
Wandsworth,E09000032,A3031,11.0r,11.0r,11.3r,10.9r
Wandsworth,E09000032,A3036,8.2r,8.8r,8.4r,8.2r
Wandsworth,E09000032,A306,11.0r,12.0r,11.5r,11.3r
Wandsworth,E09000032,A3205,8.9r,9.2r,8.9r,9.0r
Wandsworth,E09000032,A3207,6.4r,6.6r,6.6r,6.5r
Wandsworth,E09000032,A3209,10.5r,11.3r,11.1r,11.0r
Wandsworth,E09000032,A3216,9.1r,8.4r,11.0r,9.0r
Wandsworth,E09000032,A3220,7.8r,8.1r,7.2r,7.5r
Westminster,E09000033,A202,7.1r,9.1r,7.9r,8.3r
Westminster,E09000033,A302,6.1r,7.3r,6.9r,5.8r
Westminster,E09000033,A315,10.5r,11.2r,9.3r,10.4r
Westminster,E09000033,A3211,9.6r,12.6r,11.5r,9.4r
Westminster,E09000033,A3212,10.3r,8.0r,9.4r,9.4r
Westminster,E09000033,A3213,7.0r,8.6r,8.0r,7.3r
Westminster,E09000033,A3214,6.3r,7.7r,7.4r,6.5r
Westminster,E09000033,A4,6.9r,8.3r,8.2r,7.1r
Westminster,E09000033,A40,22.2r,23.2r,5.8r,20.8r
Westminster,E09000033,A402,9.0r,11.4r,10.3r,9.1r
Westminster,E09000033,A404,9.4r,9.4r,9.2r,9.1r
Westminster,E09000033,A41,12.6r,13.4r,11.7r,11.7r
Westminster,E09000033,A4201,5.7r,6.0r,5.8r,5.3r
Westminster,E09000033,A4202,10.0r,11.8r,11.0r,9.8r
Westminster,E09000033,A4206,6.4r,8.0r,6.4r,7.0r
Westminster,E09000033,A4207,10.5r,10.3r,10.0r,10.3r
Westminster,E09000033,A4209,7.3r,8.5r,8.5r,8.4r
Westminster,E09000033,A5,9.7r,9.8r,10.1r,9.4r
Westminster,E09000033,A501,7.6r,9.5r,8.4r,8.0r
Westminster,E09000033,A5204,4.3r,5.5r,5.3r,4.4r
Westminster,E09000033,A5205,12.8r,13.4r,12.2r,12.3r
